Raw data from directory ./experiment_input_size

               one          half        eigth    sixteenth    thirtieth
no10      8.386918      9.725525     0.015185     0.009732     0.000562
no11      0.068277      0.031929     0.013341     0.007270     0.004011
no13     57.826974     26.375657    13.377946     0.332525     0.007979
no14   3498.390853   3174.938645  1274.702575   767.157239   667.825020
no15    230.683025      0.019150     0.008431     0.004718     0.003014
no16     35.175610     15.705927     0.732577     0.425411     0.243589
no17    150.920256     86.337102    32.471629    17.230698     1.836919
no18      1.993884      0.971762     0.496168     0.274459     0.132783
no19      0.215050      0.106947     0.030585     0.018454     0.012448
no1       0.032922      0.019850     0.006384     0.004486     0.002476
no20    244.311795    137.193049     6.492287     3.827821     0.002357
no21     38.933017     19.488392    13.005277     6.989971     4.209195
no22   3377.595431   2814.193168    14.459438     3.576365     0.107516
no23    102.057032     43.714109    20.298062    11.197925     0.003699
no24    982.304765    599.915955   774.468612   163.796800     1.441179
no25    726.802350    274.003913   178.525597   151.068445     5.966455
no2       0.905838      0.481485     0.311859     0.339026     0.151442
no3   13956.310939  10244.406869  5918.876066   433.644796  1118.908155
no4       0.688139      0.370485     0.105008     0.061536     0.018160
no5    4102.756831   2263.311539   665.020890   164.539142    23.254543
no6    3653.107491   1971.393816  2902.142642  2141.628501  1584.603898
no7     628.057305   1545.287497  1071.375785   155.389474  2471.685963
no8       3.271827      1.793394     0.619328     0.350426     0.312326
