
Penalized Star:
linux@AlphaRegexPublic$python analysis.py
                            Regex  Level     Iter        Time
no8                     (1+01*0)*      6     3021    0.216755
no9   (0+1)*1(0+1)(0+1)(0+1)(0+1)      7   264530  237.156788
no4                      1(0+1)*0      5      182    0.011806
no5             (0+1)(0+1)0(0+1)*      6      273    0.038448
no6            ((0+1)(0+1)(0+1))*      5      226    0.072488
no7                  (1+01*01*0)*      8  1171791  295.735035
no1                       0(0+1)*      4       22    0.002190
no2                      (0+1)*01      4      279    0.013871
no3              (0+1)*0101(0+1)*      8   103503   24.328412
no23                  (1+011*01)*      7   149099   16.949966
no22        (0+1)*(0(0+1)+(0+1)1)      5   128484   23.838045
no21               0?(0+10(0+1)*)      7    54791    4.572235
no20                  (1(0+1))*1?      5    21521    6.863554
no25             0+((1+00)(0+1))*      6   369191   54.038910
no24                0?((01)?10?)*      6   560919  109.266623
no18                  0?(1(10)?)*      6     6574    0.578152
no19                 0*(1(0+1)?)*      6     5978    1.006835
no16         0+1+(0+1)*(0+1(0+1))      6    97021   17.474176
no17                 0*(01+100*)?      7    75325    8.112987
no14      (0+1(0+1))((0+1)(0+1))*      5    19385    4.201948
no15             (0+1)(0+1)(0+1)*      5      106    0.010776
no12                   000(0+11)*      6    16709    1.260296
no13                   1*0?1*0?1*      6   502819   87.329950
no10                1?(01)?(01?)?      5    75538    8.069759
no11                       (0?1)*      4       80    0.005032
------------------------------------------------------------------------------
Original benchmarks:
                             Regex  Level    Iter        Time
no8                      (1+01*0)*      6    1446    0.109645
no9    (0+1)*1(0+1)(0+1)(0+1)(0+1)      7    3452    2.594541
no4                       1(0+1)*0      5     159    0.009089
no5              (0+1)(0+1)0(0+1)*      6      36    0.007989
no6             ((0+1)(0+1)(0+1))*      5     109    0.025764
no7                   (1+01*01*0)*      7  129568   15.794936
no1                        0(0+1)*      4      22    0.001440
no2                       (0+1)*01      4     179    0.011010
no3               (0+1)*0101(0+1)*      8   12636    5.224743
no23                   (1+011*01)*      7   26158    2.362247
no22  0(0+1)+(0+1)(0+1)*(1+0(0+1))      7  112073   44.770579
no21              ((0+1)1?0(01)?)*      7   16590    0.957837
no20  (1(0+1))?1((0+1)(1(0+1)?)?)?      9   29131    9.497303
no25             (1?0)*(11(01?)*)?      8  121982   12.176071
no24                 0?((01)?10?)*      6  169907   22.377746
no18                   0?(1(10)?)*      6    1529    0.127420
no19                  0*(1(0+1)?)*      6    1824    0.405714
no16          0+1+(0+1)*(0+1(0+1))      6   26296    6.678722
no17              (0(01)?)*(100*)?      6   43944    4.294162
no14       (0+1(0+1))((0+1)(0+1))*      5  344157  144.033296
no15              (0+1)(0+1)(0+1)*      5      31    0.004332
no12                    0*000(11)*      6    5391    0.351392
no13                    1*0?1*0?1*      5   21869    1.962392
no10              (1?0)?(1(01?)?)?      7   14472    1.273527
no11                        (0?1)*      4      51    0.003335
