linux@AlphaRegexPublic$python analysis.py
                            Regex  Level     Iter         Time
no8                     (1+01*0)*      6     1919     0.162613
no9   (0+1)*1(0+1)(0+1)(0+1)(0+1)      5  1290896  1665.390107
no4                      1(0+1)*0      5      193     0.012170
no5             (0+1)(0+1)0(0+1)*      6      563     0.080595
no6            ((0+1)(0+1)(0+1))*      5      176     0.049593
no7                  (1+01*01*0)*      7  1495310   441.262639
no1                       0(0+1)*      4       34     0.002229
no2                      (0+1)*01      4      242     0.013374
no3              (0+1)*0101(0+1)*      6   508204   154.017754
no23                  (1+011*01)*      7   286263    41.923775
no22        (0+1)*(0(0+1)+(0+1)1)      5   104210    18.697421
no21               0?(0+10(0+1)*)      7   100865     8.693442
no20                  (1(0+1))*1?      5    25155     8.073935
no25             0+((1+00)(0+1))*      6   501466    89.159123
no24                0?((01)?10?)*      6  1573025   500.593572
no18                  0?(1(10)?)*      6    17104     1.932564
no19                 0*(1(0+1)?)*      6     4015     0.691980
no16         0+1+(0+1)*(0+1(0+1))      6   141516    29.435689
no17                 0*(01+1?00*)      6   314259    48.014586
no14      (0+1(0+1))((0+1)(0+1))*      5    46142    10.717693
no15             (0+1)(0+1)(0+1)*      5      146     0.015336
no12                   000(0+11)*      6    54185     4.957880
no13                   1*0?1*0?1*      5  1003796   243.037254
no10                    1?(01)*0?      5   274297    38.771846
no11                       (0?1)*      4       96     0.008094
---------------------------------------------------------------------
Original Benchmark:
Name: Time, dtype: float64
                             Regex  Level    Iter        Time
no8                      (1+01*0)*      6    1446    0.109645
no9    (0+1)*1(0+1)(0+1)(0+1)(0+1)      7    3452    2.594541
no4                       1(0+1)*0      5     159    0.009089
no5              (0+1)(0+1)0(0+1)*      6      36    0.007989
no6             ((0+1)(0+1)(0+1))*      5     109    0.025764
no7                   (1+01*01*0)*      7  129568   15.794936
no1                        0(0+1)*      4      22    0.001440
no2                       (0+1)*01      4     179    0.011010
no3               (0+1)*0101(0+1)*      8   12636    5.224743
no23                   (1+011*01)*      7   26158    2.362247
no22  0(0+1)+(0+1)(0+1)*(1+0(0+1))      7  112073   44.770579
no21              ((0+1)1?0(01)?)*      7   16590    0.957837
no20  (1(0+1))?1((0+1)(1(0+1)?)?)?      9   29131    9.497303
no25             (1?0)*(11(01?)*)?      8  121982   12.176071
no24                 0?((01)?10?)*      6  169907   22.377746
no18                   0?(1(10)?)*      6    1529    0.127420
no19                  0*(1(0+1)?)*      6    1824    0.405714
no16          0+1+(0+1)*(0+1(0+1))      6   26296    6.678722
no17              (0(01)?)*(100*)?      6   43944    4.294162
no14       (0+1(0+1))((0+1)(0+1))*      5  344157  144.033296
no15              (0+1)(0+1)(0+1)*      5      31    0.004332
no12                    0*000(11)*      6    5391    0.351392
no13                    1*0?1*0?1*      5   21869    1.962392
no10              (1?0)?(1(01?)?)?      7   14472    1.273527
no11                        (0?1)*      4      51    0.003335
